sample-id	Step1Conc	WellNo	i7Primer	i5Primer	OriginalName	TechRepNo	FirstNo	Experiment	Project	SampleType	ControlType	Inhibitor	Substrate	SedimentLocation	Condition	Timepoint	Date	SourceType	Split	TubeNo	SeqId	PercentContam
A45	0.057	D4	H706	H503	TMI2T2A	121	28	TM1-1	substrates	experiment	NA	NA	Acetate	NA	inoc 2	T2	NA	DNA filter	NA	NA	BoxA	17.27272727
A46	5.27	D5	H712	H503	TMPGT4A	159	1	TM1-1	substrates	control	positive	NA	Acetate	NA	(+) G20	T4	NA	DNA filter	NA	NA	BoxA	99.99218218
A47	0.062	D6	H720	H503	TMNGT2A	147	25	TM1-1	substrates	control	negative	NA	Acetate	NA	(-) MQ	T2	NA	DNA filter	NA	NA	BoxA	70.90909091
A48	53	D7	H710	H503	K3BNMT0	98	9	K0823	sediment inhibition	experiment	NA	no	NA	bottom	DB (-)M B	T0	NA	mud	NA	NA	BoxA	0.030521703
A49	51	D8	H711	H503	K3CO1	99	2	K0823	sediment inhibition	experiment	NA	no	NA	source	Core 3B microbio (tube 1)	NA	mud		NA	NA	BoxA	0.105946794
A5	15.4	A4	H705	H505	TMI2T4L	127	17	TM1-1	substrates	experiment	NA	NA	Lactate	NA	inoc 2	T4	4/17/23	filter	NA	NA	BoxA	0.001663451
A50	49.6	D9	H714	H503	K3AMOAT0	78	11	K0823	sediment inhibition	experiment	NA	yes	NA	top	UA (+)M A	T0	NA	mud	NA	NA	BoxA	0.028674422
A51	0.22	D10	H701	H503	TMI1T2A	108	27	TM1-1	substrates	experiment	NA	NA	Acetate	NA	inoc 1	T2	NA	DNA filter	NA	NA	BoxA	0.168023782
A52	0.098	D11	H702	H503	TMI2T0B	116	31	TM1-1	substrates	experiment	NA	NA	butyrate	NA	inoc 2	T0	8/10/21	filter	NA	NA	BoxA	2.861771058
A53	54	D12	H703	H503	K3ANMBT0	85	12	K0823	sediment inhibition	experiment	NA	no	NA	top	UA (-)M B	T0	NA	mud	NA	NA	BoxA	0.040280171
A54	52	E1	H706	H516	K3ANMBT13	86	16	K0823	sediment inhibition	experiment	NA	no	NA	top	UA (-)M B	T13	NA	mud	NA	NA	BoxA	0
